,car_names ,car_prices,car_ratings,car_review
456,TOIGEN Formula 1 Remote Control Racing car,₹953,3.4,-281
457,frendo HI SPEED RC CAR BUG Black Matt,₹949,3.3,-7
458,VikriDa Formula 1 smoke car-RE_Acq,₹959,3.6,-182
459,"VikriDa Gesture Sensing Stunt Rc Cars, 8Wd Rechargeable...","₹1,974",3.6,-311
460,frendo High Speed 1:24 Scale Rechargeable Remote Car fo...,₹524,3.8,"-2,468"
461,VikriDa Remote Control Extreme Drift Stunt Car for Kids...,"₹1,285",4.3,-19
462,Wembley Monster Truck Rechargeable Remote Control Car O...,"₹1,115",3.8,-78
463,frendo HI SPEED RC CAR LAM Black,₹949,4.1,-19
464,"ENGINEDIGITAL 4WD RC Drift Car with LED Lights, 30km/h ...","₹4,369",N/A,N/A
465,Wembley High Speed Mini 1:24 Scale Rechargeable Remote ...,₹544,3.8,"-17,550"
466,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4,-933
467,frendo High Speed 1:24 Scale Rechargeable Remote Car fo...,₹729,3.8,"-2,468"
468,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹363,3.5,"-52,302"
469,frendo High Speed 1:24 Rechargeable C type charging Min...,₹699,3.7,-898
470,frendo High Speed 1:24 Scale Rechargeable Remote Car fo...,₹699,3.8,"-2,468"
471,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4.1,"-4,105"
472,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹461,3.5,"-52,302"
473,UB Toys UB Toys Rechargeable 360 Remote Control Stunt C...,₹595,3.6,-409
474,Buddynjoy 3D lighting kids high speed rechargeable remo...,₹386,3.6,"-15,021"
475,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4.1,"-4,105"
476,BACHCHARIDE Vande Bharat Express Toy Train –Model 105 B...,₹267,N/A,N/A
477,frendo High Speed 1:24 Scale Rechargeable Remote Car fo...,₹599,3.8,"-2,468"
478,"SHAILRON High-Speed RC Stunt Car, Finger Gesture Contro...","₹1,740",3.6,-7
479,APJ enterprise Remote Controlled Spray Racing Sports Ca...,"₹1,986",N/A,N/A
480,frendo High Speed 1:24 Scale Rechargeable Remote Car fo...,₹399,3.8,"-2,468"
481,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹310,3.5,"-52,302"
482,"CADDLE & TOES Rock Car , Spring wheels ,1:20 scale,Remo...",₹649,3.5,"-17,267"
483,WISHKEY Remote Control Super High Speed Racing Car With...,₹499,3.7,"-34,747"
484,Buddynjoy 3D lighting kids high speed rechargeable remo...,₹313,3.6,"-15,021"
485,frendo Off Roader Rechargeable Remote Control Monster T...,"₹1,099",4.1,"-4,105"
486,CADDLE & TOES Famous Car Remote Control 3D with LED Lig...,₹279,3.5,"-52,302"
487,GOODTIMES TOYS RC Car – Rechargeable Remote Control Rac...,₹279,N/A,N/A
488,fenterprises Remote Control Stunt Car 360° Rotation Mul...,₹445,3.9,"-3,718"
489,Xcillince Toys 4 Channel Remote control RC sports SUV F...,₹430,3.5,"-1,881"
